VOTER,SINGER,SCORE,,,,,,,,
Denmark,Bulgaria,0,0,,,,denmark,bulgaria,0,"""denmark"": {""bulgaria"":0,},"
Denmark,Croatia,0,0,,,,denmark,croatia,0,"""denmark"": {""croatia"":0,},"
Denmark,Cyprus,2,2,,,,denmark,cyprus,2,"""denmark"": {""cyprus"":2.1,},"
Denmark,Estonia,4,4,,,,denmark,estonia,4,"""denmark"": {""estonia"":4.3,},"
Denmark,F.Y.R. Macedonia,0,0,,,,denmark,f.y.r. macedonia,0,"""denmark"": {""f.y.r. macedonia"":0,},"
Denmark,Finland,3,3,,,,denmark,finland,3,"""denmark"": {""finland"":3.3,},"
Denmark,France,2,2,,,,denmark,france,2,"""denmark"": {""france"":1.9,},"
Denmark,Georgia,0,0,,,,denmark,georgia,0,"""denmark"": {""georgia"":0,},"
Denmark,Germany,3,3,,,,denmark,germany,3,"""denmark"": {""germany"":3.3,},"
Denmark,Greece,1,1,,,,denmark,greece,1,"""denmark"": {""greece"":1.3,},"
Denmark,Hungary,1,1,,,,denmark,hungary,1,"""denmark"": {""hungary"":1.4,},"
Denmark,Iceland,6,6,,,,denmark,iceland,6,"""denmark"": {""iceland"":6.1,},"
Denmark,Ireland,3,3,,,,denmark,ireland,3,"""denmark"": {""ireland"":3.1,},"
Denmark,Israel,1,1,,,,denmark,israel,1,"""denmark"": {""israel"":0.8,},"
Denmark,Italy,1,1,,,,denmark,italy,1,"""denmark"": {""italy"":1.4,},"
Denmark,Latvia,4,4,,,,denmark,latvia,4,"""denmark"": {""latvia"":3.9,},"
Denmark,Lithuania,1,1,,,,denmark,lithuania,1,"""denmark"": {""lithuania"":0.9,},"
Denmark,Malta,4,4,,,,denmark,malta,4,"""denmark"": {""malta"":3.8,},"
Denmark,Moldova,1,1,,,,denmark,moldova,1,"""denmark"": {""moldova"":0.9,},"
Denmark,Montenegro,0,0,,,,denmark,montenegro,0,"""denmark"": {""montenegro"":0,},"
Denmark,Norway,5,5,,,,denmark,norway,5,"""denmark"": {""norway"":5.2,},"
Denmark,Poland,1,1,,,,denmark,poland,1,"""denmark"": {""poland"":0.9,},"
Denmark,Portugal,1,1,,,,denmark,portugal,1,"""denmark"": {""portugal"":0.6,},"
Denmark,Romania,2,2,,,,denmark,romania,2,"""denmark"": {""romania"":1.7,},"
Denmark,Russia,2,2,,,,denmark,russia,2,"""denmark"": {""russia"":1.6,},"
Denmark,San Marino,0,0,,,,denmark,san marino,0,"""denmark"": {""san marino"":0,},"
Denmark,Serbia,2,2,,,,denmark,serbia,2,"""denmark"": {""serbia"":1.9,},"
Denmark,Slovenia,1,1,,,,denmark,slovenia,1,"""denmark"": {""slovenia"":0.9,},"
Denmark,Spain,0,0,,,,denmark,spain,0,"""denmark"": {""spain"":0.2,},"
Denmark,Sweden,10,10,,,,denmark,sweden,10,"""denmark"": {""sweden"":9.6,},"
Denmark,Switzerland,0,0,,,,denmark,switzerland,0,"""denmark"": {""switzerland"":0.1,},"
Denmark,The Netherlands,4,4,,,,denmark,the netherlands,4,"""denmark"": {""the netherlands"":3.9,},"
Denmark,Turkey,4,4,,,,denmark,turkey,4,"""denmark"": {""turkey"":3.6,},"
Denmark,U.K.,3,3,,,,denmark,u.k.,3,"""denmark"": {""u.k."":2.5,},"
Denmark,Ukraine,2,2,,,,denmark,ukraine,2,"""denmark"": {""ukraine"":1.7,},"
Estonia,Estonia,-1,-1,,,,estonia,estonia,-1,"""estonia"": {""estonia"":-1,},"
Estonia,Albania,0,0,,,,estonia,albania,0,"""estonia"": {""albania"":0.2,},"
Estonia,Armenia,1,1,,,,estonia,armenia,1,"""estonia"": {""armenia"":0.7,},"
Estonia,Austria,3,3,,,,estonia,austria,3,"""estonia"": {""austria"":2.8,},"
Estonia,Azerbaijan,2,2,,,,estonia,azerbaijan,2,"""estonia"": {""azerbaijan"":2.1,},"
Estonia,Belarus,2,2,,,,estonia,belarus,2,"""estonia"": {""belarus"":1.8,},"
Estonia,Belgium,3,3,,,,estonia,belgium,3,"""estonia"": {""belgium"":2.8,},"
Estonia,Bosnia & Herzegovina,0,0,,,,estonia,bosnia & herzegovina,0,"""estonia"": {""bosnia & herzegovina"":0,},"
Estonia,Bulgaria,1,1,,,,estonia,bulgaria,1,"""estonia"": {""bulgaria"":1,},"
Estonia,Croatia,1,1,,,,estonia,croatia,1,"""estonia"": {""croatia"":1.1,},"
Estonia,Cyprus,1,1,,,,estonia,cyprus,1,"""estonia"": {""cyprus"":1.1,},"
Estonia,Denmark,4,4,,,,estonia,denmark,4,"""estonia"": {""denmark"":4.3,},"
Estonia,F.Y.R. Macedonia,0,0,,,,estonia,f.y.r. macedonia,0,"""estonia"": {""f.y.r. macedonia"":0,},"
Estonia,Finland,6,6,,,,estonia,finland,6,"""estonia"": {""finland"":6.1,},"
Estonia,France,2,2,,,,estonia,france,2,"""estonia"": {""france"":1.9,},"
Estonia,Georgia,4,4,,,,estonia,georgia,4,"""estonia"": {""georgia"":4.2,},"
Estonia,Germany,2,2,,,,estonia,germany,2,"""estonia"": {""germany"":2.2,},"
Estonia,Greece,1,1,,,,estonia,greece,1,"""estonia"": {""greece"":0.7,},"
Estonia,Hungary,3,3,,,,estonia,hungary,3,"""estonia"": {""hungary"":2.9,},"
Estonia,Iceland,4,4,,,,estonia,iceland,4,"""estonia"": {""iceland"":3.6,},"
Estonia,Ireland,2,2,,,,estonia,ireland,2,"""estonia"": {""ireland"":2.4,},"
Estonia,Israel,2,2,,,,estonia,israel,2,"""estonia"": {""israel"":1.5,},"
Estonia,Italy,3,3,,,,estonia,italy,3,"""estonia"": {""italy"":2.6,},"
Estonia,Latvia,8,8,,,,estonia,latvia,8,"""estonia"": {""latvia"":8.4,},"
Estonia,Lithuania,2,2,,,,estonia,lithuania,2,"""estonia"": {""lithuania"":1.9,},"
Estonia,Malta,2,2,,,,estonia,malta,2,"""estonia"": {""malta"":2.1,},"
Estonia,Moldova,1,1,,,,estonia,moldova,1,"""estonia"": {""moldova"":0.8,},"
Estonia,Montenegro,0,0,,,,estonia,montenegro,0,"""estonia"": {""montenegro"":0,},"
Estonia,Norway,4,4,,,,estonia,norway,4,"""estonia"": {""norway"":3.9,},"
Estonia,Poland,1,1,,,,estonia,poland,1,"""estonia"": {""poland"":0.8,},"
Estonia,Portugal,0,0,,,,estonia,portugal,0,"""estonia"": {""portugal"":0.3,},"
Estonia,Romania,0,0,,,,estonia,romania,0,"""estonia"": {""romania"":0.3,},"
Estonia,Russia,9,9,,,,estonia,russia,9,"""estonia"": {""russia"":8.6,},"
Estonia,San Marino,0,0,,,,estonia,san marino,0,"""estonia"": {""san marino"":0,},"
Estonia,Serbia,0,0,,,,estonia,serbia,0,"""estonia"": {""serbia"":0.1,},"
Estonia,Slovakia,0,0,,,,estonia,slovakia,0,"""estonia"": {""slovakia"":0,},"
Estonia,Slovenia,1,1,,,,estonia,slovenia,1,"""estonia"": {""slovenia"":1.1,},"
Estonia,Spain,1,1,,,,estonia,spain,1,"""estonia"": {""spain"":0.7,},"
Estonia,Sweden,7,7,,,,estonia,sweden,7,"""estonia"": {""sweden"":6.7,},"
Estonia,Switzerland,1,1,,,,estonia,switzerland,1,"""estonia"": {""switzerland"":1.3,},"
Estonia,The Netherlands,3,3,,,,estonia,the netherlands,3,"""estonia"": {""the netherlands"":2.6,},"
Estonia,Turkey,1,1,,,,estonia,turkey,1,"""estonia"": {""turkey"":0.8,},"
Estonia,U.K.,2,2,,,,estonia,u.k.,2,"""estonia"": {""u.k."":2.1,},"
Estonia,Ukraine,4,4,,,,estonia,ukraine,4,"""estonia"": {""ukraine"":4.3,},"
F.Y.R. Macedonia,F.Y.R. Macedonia,-1,-1,,,,f.y.r. macedonia,f.y.r. macedonia,-1,"""f.y.r. macedonia"": {""f.y.r. macedonia"":-1,},"
F.Y.R. Macedonia,Albania,11,11,,,,f.y.r. macedonia,albania,11,"""f.y.r. macedonia"": {""albania"":11.2,},"
F.Y.R. Macedonia,Armenia,2,2,,,,f.y.r. macedonia,armenia,2,"""f.y.r. macedonia"": {""armenia"":2,},"
F.Y.R. Macedonia,Austria,1,1,,,,f.y.r. macedonia,austria,1,"""f.y.r. macedonia"": {""austria"":1.3,},"
F.Y.R. Macedonia,Azerbaijan,2,2,,,,f.y.r. macedonia,azerbaijan,2,"""f.y.r. macedonia"": {""azerbaijan"":2.3,},"
F.Y.R. Macedonia,Belarus,3,3,,,,f.y.r. macedonia,belarus,3,"""f.y.r. macedonia"": {""belarus"":3,},"
F.Y.R. Macedonia,Belgium,2,2,,,,f.y.r. macedonia,belgium,2,"""f.y.r. macedonia"": {""belgium"":1.6,},"
F.Y.R. Macedonia,Bosnia & Herzegovina,7,7,,,,f.y.r. macedonia,bosnia & herzegovina,7,"""f.y.r. macedonia"": {""bosnia & herzegovina"":7,},"
F.Y.R. Macedonia,Bulgaria,8,8,,,,f.y.r. macedonia,bulgaria,8,"""f.y.r. macedonia"": {""bulgaria"":8,},"
F.Y.R. Macedonia,Croatia,7,7,,,,f.y.r. macedonia,croatia,7,"""f.y.r. macedonia"": {""croatia"":7.3,},"
F.Y.R. Macedonia,Cyprus,1,1,,,,f.y.r. macedonia,cyprus,1,"""f.y.r. macedonia"": {""cyprus"":0.7,},"
F.Y.R. Macedonia,Denmark,1,1,,,,f.y.r. macedonia,denmark,1,"""f.y.r. macedonia"": {""denmark"":1.4,},"
F.Y.R. Macedonia,Estonia,0,0,,,,f.y.r. macedonia,estonia,0,"""f.y.r. macedonia"": {""estonia"":0,},"
F.Y.R. Macedonia,Finland,1,1,,,,f.y.r. macedonia,finland,1,"""f.y.r. macedonia"": {""finland"":0.8,},"
F.Y.R. Macedonia,France,0,0,,,,f.y.r. macedonia,france,0,"""f.y.r. macedonia"": {""france"":0.3,},"
F.Y.R. Macedonia,Georgia,1,1,,,,f.y.r. macedonia,georgia,1,"""f.y.r. macedonia"": {""georgia"":1,},"
F.Y.R. Macedonia,Germany,1,1,,,,f.y.r. macedonia,germany,1,"""f.y.r. macedonia"": {""germany"":0.6,},"
F.Y.R. Macedonia,Greece,3,3,,,,f.y.r. macedonia,greece,3,"""f.y.r. macedonia"": {""greece"":2.8,},"
F.Y.R. Macedonia,Hungary,2,2,,,,f.y.r. macedonia,hungary,2,"""f.y.r. macedonia"": {""hungary"":1.6,},"
F.Y.R. Macedonia,Iceland,0,0,,,,f.y.r. macedonia,iceland,0,"""f.y.r. macedonia"": {""iceland"":0.2,},"
F.Y.R. Macedonia,Ireland,1,1,,,,f.y.r. macedonia,ireland,1,"""f.y.r. macedonia"": {""ireland"":0.8,},"
F.Y.R. Macedonia,Israel,1,1,,,,f.y.r. macedonia,israel,1,"""f.y.r. macedonia"": {""israel"":1.3,},"
F.Y.R. Macedonia,Italy,5,5,,,,f.y.r. macedonia,italy,5,"""f.y.r. macedonia"": {""italy"":4.5,},"
F.Y.R. Macedonia,Latvia,1,1,,,,f.y.r. macedonia,latvia,1,"""f.y.r. macedonia"": {""latvia"":0.6,},"
F.Y.R. Macedonia,Lithuania,1,1,,,,f.y.r. macedonia,lithuania,1,"""f.y.r. macedonia"": {""lithuania"":0.5,},"
F.Y.R. Macedonia,Malta,2,2,,,,f.y.r. macedonia,malta,2,"""f.y.r. macedonia"": {""malta"":1.7,},"
F.Y.R. Macedonia,Moldova,2,2,,,,f.y.r. macedonia,moldova,2,"""f.y.r. macedonia"": {""moldova"":1.6,},"
F.Y.R. Macedonia,Montenegro,12,12,,,,f.y.r. macedonia,montenegro,12,"""f.y.r. macedonia"": {""montenegro"":12,},"
F.Y.R. Macedonia,Norway,1,2,,,,f.y.r. macedonia,norway,2,"""f.y.r. macedonia"": {""norway"":1.5,},"
F.Y.R. Macedonia,Poland,1,1,,,,f.y.r. macedonia,poland,1,"""f.y.r. macedonia"": {""poland"":1.3,},"
F.Y.R. Macedonia,Portugal,1,1,,,,f.y.r. macedonia,portugal,1,"""f.y.r. macedonia"": {""portugal"":1,},"
F.Y.R. Macedonia,Romania,2,2,,,,f.y.r. macedonia,romania,2,"""f.y.r. macedonia"": {""romania"":1.9,},"
F.Y.R. Macedonia,Russia,4,4,,,,f.y.r. macedonia,russia,4,"""f.y.r. macedonia"": {""russia"":3.5,},"
F.Y.R. Macedonia,San Marino,0,0,,,,f.y.r. macedonia,san marino,0,"""f.y.r. macedonia"": {""san marino"":0,},"
F.Y.R. Macedonia,Serbia,10,10,,,,f.y.r. macedonia,serbia,10,"""f.y.r. macedonia"": {""serbia"":9.6,},"
F.Y.R. Macedonia,Slovakia,0,0,,,,f.y.r. macedonia,slovakia,0,"""f.y.r. macedonia"": {""slovakia"":0,},"
F.Y.R. Macedonia,Slovenia,4,4,,,,f.y.r. macedonia,slovenia,4,"""f.y.r. macedonia"": {""slovenia"":4.3,},"
F.Y.R. Macedonia,Spain,0,0,,,,f.y.r. macedonia,spain,0,"""f.y.r. macedonia"": {""spain"":0.4,},"
F.Y.R. Macedonia,Sweden,2,2,,,,f.y.r. macedonia,sweden,2,"""f.y.r. macedonia"": {""sweden"":2.3,},"
F.Y.R. Macedonia,Switzerland,0,0,,,,f.y.r. macedonia,switzerland,0,"""f.y.r. macedonia"": {""switzerland"":0,},"
F.Y.R. Macedonia,The Netherlands,2,2,,,,f.y.r. macedonia,the netherlands,2,"""f.y.r. macedonia"": {""the netherlands"":2.4,},"
F.Y.R. Macedonia,Turkey,7,7,,,,f.y.r. macedonia,turkey,7,"""f.y.r. macedonia"": {""turkey"":7.1,},"
F.Y.R. Macedonia,U.K.,2,2,,,,f.y.r. macedonia,u.k.,2,"""f.y.r. macedonia"": {""u.k."":1.6,},"
F.Y.R. Macedonia,Ukraine,3,3,,,,f.y.r. macedonia,ukraine,3,"""f.y.r. macedonia"": {""ukraine"":2.6,},"
Finland,Finland,-1,-1,,,,finland,finland,-1,"""finland"": {""finland"":-1,},"
Finland,Albania,2,2,,,,finland,albania,2,"""finland"": {""albania"":1.5,},"
Finland,Armenia,1,1,,,,finland,armenia,1,"""finland"": {""armenia"":0.7,},"
Finland,Austria,3,3,,,,finland,austria,3,"""finland"": {""austria"":2.7,},"
Finland,Azerbaijan,1,1,,,,finland,azerbaijan,1,"""finland"": {""azerbaijan"":1,},"
Finland,Belarus,0,0,,,,finland,belarus,0,"""finland"": {""belarus"":0,},"
Finland,Belgium,1,1,,,,finland,belgium,1,"""finland"": {""belgium"":1.3,},"
Finland,Bosnia & Herzegovina,2,2,,,,finland,bosnia & herzegovina,2,"""finland"": {""bosnia & herzegovina"":2.1,},"
Finland,Bulgaria,5,5,,,,finland,bulgaria,5,"""finland"": {""bulgaria"":5,},"
Finland,Croatia,1,1,,,,finland,croatia,1,"""finland"": {""croatia"":1.2,},"
Finland,Cyprus,2,2,,,,finland,cyprus,2,"""finland"": {""cyprus"":2.1,},"
Finland,Denmark,3,3,,,,finland,denmark,3,"""finland"": {""denmark"":3.2,},"
Finland,Estonia,10,10,,,,finland,estonia,10,"""finland"": {""estonia"":9.6,},"
Finland,F.Y.R. Macedonia,0,0,,,,finland,f.y.r. macedonia,0,"""finland"": {""f.y.r. macedonia"":0.1,},"
Finland,France,2,2,,,,finland,france,2,"""finland"": {""france"":2.2,},"
Finland,Georgia,1,1,,,,finland,georgia,1,"""finland"": {""georgia"":1.4,},"
Finland,Germany,1,1,,,,finland,germany,1,"""finland"": {""germany"":1.2,},"
Finland,Greece,1,1,,,,finland,greece,1,"""finland"": {""greece"":1.3,},"
Finland,Hungary,5,5,,,,finland,hungary,5,"""finland"": {""hungary"":5.3,},"
Finland,Iceland,4,4,,,,finland,iceland,4,"""finland"": {""iceland"":4.4,},"
Finland,Ireland,3,3,,,,finland,ireland,3,"""finland"": {""ireland"":3,},"
Finland,Israel,5,5,,,,finland,israel,5,"""finland"": {""israel"":4.8,},"
Finland,Italy,1,1,,,,finland,italy,1,"""finland"": {""italy"":0.8,},"
Finland,Latvia,4,4,,,,finland,latvia,4,"""finland"": {""latvia"":3.7,},"
Finland,Lithuania,1,1,,,,finland,lithuania,1,"""finland"": {""lithuania"":1.1,},"
Finland,Malta,2,2,,,,finland,malta,2,"""finland"": {""malta"":1.9,},"
Finland,Moldova,0,0,,,,finland,moldova,0,"""finland"": {""moldova"":0.3,},"
Finland,Montenegro,0,0,,,,finland,montenegro,0,"""finland"": {""montenegro"":0,},"
Finland,Norway,5,5,,,,finland,norway,5,"""finland"": {""norway"":5.4,},"
Finland,Poland,0,0,,,,finland,poland,0,"""finland"": {""poland"":0,},"
Finland,Portugal,1,1,,,,finland,portugal,1,"""finland"": {""portugal"":0.6,},"
Finland,Romania,0,0,,,,finland,romania,0,"""finland"": {""romania"":0.4,},"
Finland,Russia,4,4,,,,finland,russia,4,"""finland"": {""russia"":4.2,},"
Finland,San Marino,0,0,,,,finland,san marino,0,"""finland"": {""san marino"":0,},"
Finland,Serbia,4,4,,,,finland,serbia,4,"""finland"": {""serbia"":3.7,},"
Finland,Slovakia,0,0,,,,finland,slovakia,0,"""finland"": {""slovakia"":0,},"
Finland,Slovenia,1,1,,,,finland,slovenia,1,"""finland"": {""slovenia"":0.7,},"
Finland,Spain,1,1,,,,finland,spain,1,"""finland"": {""spain"":0.5,},"
Finland,Sweden,8,8,,,,finland,sweden,8,"""finland"": {""sweden"":7.5,},"
Finland,Switzerland,2,2,,,,finland,switzerland,2,"""finland"": {""switzerland"":1.8,},"
Finland,The Netherlands,4,4,,,,finland,the netherlands,4,"""finland"": {""the netherlands"":3.8,},"
Finland,Turkey,3,3,,,,finland,turkey,3,"""finland"": {""turkey"":2.5,},"
Finland,U.K.,1,1,,,,finland,u.k.,1,"""finland"": {""u.k."":1.1,},"
Finland,Ukraine,2,2,,,,finland,ukraine,2,"""finland"": {""ukraine"":1.9,},"
France,France,-1,-1,,,,france,france,-1,"""france"": {""france"":-1,},"
France,Albania,0,0,,,,france,albania,0,"""france"": {""albania"":0.3,},"
France,Armenia,9,9,,,,france,armenia,9,"""france"": {""armenia"":9,},"
France,Austria,3,3,,,,france,austria,3,"""france"": {""austria"":3.4,},"
France,Azerbaijan,2,2,,,,france,azerbaijan,2,"""france"": {""azerbaijan"":2.1,},"
France,Belarus,0,0,,,,france,belarus,0,"""france"": {""belarus"":0,},"
France,Belgium,4,4,,,,france,belgium,4,"""france"": {""belgium"":3.5,},"
France,Bosnia & Herzegovina,2,2,,,,france,bosnia & herzegovina,2,"""france"": {""bosnia & herzegovina"":1.6,},"
France,Bulgaria,5,5,,,,france,bulgaria,5,"""france"": {""bulgaria"":5,},"
France,Croatia,2,2,,,,france,croatia,2,"""france"": {""croatia"":1.6,},"
France,Cyprus,1,1,,,,france,cyprus,1,"""france"": {""cyprus"":0.9,},"
France,Denmark,3,3,,,,france,denmark,3,"""france"": {""denmark"":2.5,},"
France,Estonia,3,3,,,,france,estonia,3,"""france"": {""estonia"":2.6,},"
France,F.Y.R. Macedonia,0,0,,,,france,f.y.r. macedonia,0,"""france"": {""f.y.r. macedonia"":0,},"
France,Finland,1,1,,,,france,finland,1,"""france"": {""finland"":1,},"
France,Georgia,0,0,,,,france,georgia,0,"""france"": {""georgia"":0,},"
France,Germany,2,3,,,,france,germany,3,"""france"": {""germany"":2.5,},"
France,Greece,2,2,,,,france,greece,2,"""france"": {""greece"":2.1,},"
France,Hungary,1,1,,,,france,hungary,1,"""france"": {""hungary"":1.2,},"
France,Iceland,1,1,,,,france,iceland,1,"""france"": {""iceland"":0.7,},"
France,Ireland,1,2,,,,france,ireland,2,"""france"": {""ireland"":1.5,},"
France,Israel,7,7,,,,france,israel,7,"""france"": {""israel"":7.3,},"
France,Italy,4,4,,,,france,italy,4,"""france"": {""italy"":4,},"
France,Latvia,1,1,,,,france,latvia,1,"""france"": {""latvia"":1.4,},"
France,Lithuania,0,0,,,,france,lithuania,0,"""france"": {""lithuania"":0.3,},"
France,Malta,2,2,,,,france,malta,2,"""france"": {""malta"":1.8,},"
France,Moldova,1,1,,,,france,moldova,1,"""france"": {""moldova"":1.3,},"
France,Montenegro,0,0,,,,france,montenegro,0,"""france"": {""montenegro"":0,},"
France,Norway,2,2,,,,france,norway,2,"""france"": {""norway"":1.8,},"
France,Poland,2,2,,,,france,poland,2,"""france"": {""poland"":1.5,},"
France,Portugal,7,7,,,,france,portugal,7,"""france"": {""portugal"":7.2,},"
France,Romania,2,2,,,,france,romania,2,"""france"": {""romania"":2.3,},"
France,Russia,2,2,,,,france,russia,2,"""france"": {""russia"":1.6,},"
France,San Marino,0,0,,,,france,san marino,0,"""france"": {""san marino"":0,},"
France,Serbia,7,7,,,,france,serbia,7,"""france"": {""serbia"":7,},"
France,Slovakia,0,0,,,,france,slovakia,0,"""france"": {""slovakia"":0,},"
France,Slovenia,1,1,,,,france,slovenia,1,"""france"": {""slovenia"":1.3,},"
France,Spain,4,4,,,,france,spain,4,"""france"": {""spain"":3.9,},"
France,Sweden,3,3,,,,france,sweden,3,"""france"": {""sweden"":2.5,},"
France,Switzerland,0,0,,,,france,switzerland,0,"""france"": {""switzerland"":0.3,},"
France,The Netherlands,3,3,,,,france,the netherlands,3,"""france"": {""the netherlands"":2.5,},"
France,Turkey,8,8,,,,france,turkey,8,"""france"": {""turkey"":8.1,},"
France,U.K.,2,2,,,,france,u.k.,2,"""france"": {""u.k."":2.1,},"
France,Ukraine,1,1,,,,france,ukraine,1,"""france"": {""ukraine"":0.7,},"
Georgia,Georgia,-1,-1,,,,georgia,georgia,-1,"""georgia"": {""georgia"":-1,},"
Georgia,Slovakia,-1,-1,,,,georgia,slovakia,-1,"""georgia"": {""slovakia"":-1,},"
Georgia,Albania,1,1,,,,georgia,albania,1,"""georgia"": {""albania"":1,},"
Georgia,Armenia,11,11,,,,georgia,armenia,11,"""georgia"": {""armenia"":11.2,},"
Georgia,Austria,7,7,,,,georgia,austria,7,"""georgia"": {""austria"":6.5,},"
Georgia,Azerbaijan,9,9,,,,georgia,azerbaijan,9,"""georgia"": {""azerbaijan"":8.7,},"
Georgia,Belarus,6,6,,,,georgia,belarus,6,"""georgia"": {""belarus"":6.3,},"
Georgia,Belgium,0,0,,,,georgia,belgium,0,"""georgia"": {""belgium"":0,},"
Georgia,Bosnia & Herzegovina,0,0,,,,georgia,bosnia & herzegovina,0,"""georgia"": {""bosnia & herzegovina"":0,},"
Georgia,Bulgaria,0,0,,,,georgia,bulgaria,0,"""georgia"": {""bulgaria"":0,},"
Georgia,Croatia,1,1,,,,georgia,croatia,1,"""georgia"": {""croatia"":1,},"
Georgia,Cyprus,0,0,,,,georgia,cyprus,0,"""georgia"": {""cyprus"":0,},"
Georgia,Denmark,1,1,,,,georgia,denmark,1,"""georgia"": {""denmark"":1.2,},"
Georgia,Estonia,0,0,,,,georgia,estonia,0,"""georgia"": {""estonia"":0,},"
Georgia,F.Y.R. Macedonia,1,1,,,,georgia,f.y.r. macedonia,1,"""georgia"": {""f.y.r. macedonia"":0.5,},"
Georgia,Finland,0,0,,,,georgia,finland,0,"""georgia"": {""finland"":0,},"
Georgia,France,0,0,,,,georgia,france,0,"""georgia"": {""france"":0.3,},"
Georgia,Germany,1,1,,,,georgia,germany,1,"""georgia"": {""germany"":1,},"
Georgia,Greece,3,3,,,,georgia,greece,3,"""georgia"": {""greece"":2.7,},"
Georgia,Hungary,1,1,,,,georgia,hungary,1,"""georgia"": {""hungary"":1,},"
Georgia,Iceland,0,0,,,,georgia,iceland,0,"""georgia"": {""iceland"":0,},"
Georgia,Ireland,0,0,,,,georgia,ireland,0,"""georgia"": {""ireland"":0,},"
Georgia,Israel,4,4,,,,georgia,israel,4,"""georgia"": {""israel"":3.5,},"
Georgia,Italy,3,3,,,,georgia,italy,3,"""georgia"": {""italy"":3.3,},"
Georgia,Latvia,1,1,,,,georgia,latvia,1,"""georgia"": {""latvia"":1,},"
Georgia,Lithuania,6,6,,,,georgia,lithuania,6,"""georgia"": {""lithuania"":6.3,},"
Georgia,Malta,1,1,,,,georgia,malta,1,"""georgia"": {""malta"":1,},"
Georgia,Moldova,2,2,,,,georgia,moldova,2,"""georgia"": {""moldova"":1.8,},"
Georgia,Montenegro,0,0,,,,georgia,montenegro,0,"""georgia"": {""montenegro"":0,},"
Georgia,Norway,3,3,,,,georgia,norway,3,"""georgia"": {""norway"":3,},"
Georgia,Poland,0,0,,,,georgia,poland,0,"""georgia"": {""poland"":0,},"
Georgia,Portugal,0,0,,,,georgia,portugal,0,"""georgia"": {""portugal"":0,},"
Georgia,Romania,0,0,,,,georgia,romania,0,"""georgia"": {""romania"":0,},"
Georgia,Russia,5,5,,,,georgia,russia,5,"""georgia"": {""russia"":5.4,},"
Georgia,San Marino,0,0,,,,georgia,san marino,0,"""georgia"": {""san marino"":0,},"
Georgia,Serbia,1,1,,,,georgia,serbia,1,"""georgia"": {""serbia"":1.2,},"
Georgia,Slovenia,0,0,,,,georgia,slovenia,0,"""georgia"": {""slovenia"":0,},"
Georgia,Spain,0,0,,,,georgia,spain,0,"""georgia"": {""spain"":0.3,},"
Georgia,Sweden,2,2,,,,georgia,sweden,2,"""georgia"": {""sweden"":1.8,},"
Georgia,Switzerland,1,1,,,,georgia,switzerland,1,"""georgia"": {""switzerland"":0.5,},"
Georgia,The Netherlands,0,0,,,,georgia,the netherlands,0,"""georgia"": {""the netherlands"":0,},"
Georgia,Turkey,5,5,,,,georgia,turkey,5,"""georgia"": {""turkey"":5,},"
Georgia,U.K.,1,1,,,,georgia,u.k.,1,"""georgia"": {""u.k."":0.9,},"
Georgia,Ukraine,8,8,,,,georgia,ukraine,8,"""georgia"": {""ukraine"":8.1,},"
Germany,Germany,-1,-1,,,,germany,germany,-1,"""germany"": {""germany"":-1,},"
Germany,Albania,2,2,,,,germany,albania,2,"""germany"": {""albania"":2,},"
Germany,Armenia,3,3,,,,germany,armenia,3,"""germany"": {""armenia"":3.4,},"
Germany,Austria,3,3,,,,germany,austria,3,"""germany"": {""austria"":3.1,},"
Germany,Azerbaijan,1,1,,,,germany,azerbaijan,1,"""germany"": {""azerbaijan"":0.7,},"
Germany,Belarus,0,0,,,,germany,belarus,0,"""germany"": {""belarus"":0,},"
Germany,Belgium,2,2,,,,germany,belgium,2,"""germany"": {""belgium"":2.4,},"
Germany,Bosnia & Herzegovina,2,2,,,,germany,bosnia & herzegovina,2,"""germany"": {""bosnia & herzegovina"":2.3,},"
Germany,Bulgaria,4,4,,,,germany,bulgaria,4,"""germany"": {""bulgaria"":4,},"
Germany,Croatia,3,3,,,,germany,croatia,3,"""germany"": {""croatia"":3.1,},"
Germany,Cyprus,1,2,,,,germany,cyprus,2,"""germany"": {""cyprus"":1.5,},"
Germany,Denmark,4,4,,,,germany,denmark,4,"""germany"": {""denmark"":4.4,},"
Germany,Estonia,3,3,,,,germany,estonia,3,"""germany"": {""estonia"":3.4,},"
Germany,F.Y.R. Macedonia,0,0,,,,germany,f.y.r. macedonia,0,"""germany"": {""f.y.r. macedonia"":0,},"
Germany,Finland,2,2,,,,germany,finland,2,"""germany"": {""finland"":1.8,},"
Germany,France,1,1,,,,germany,france,1,"""germany"": {""france"":1.4,},"
Germany,Georgia,0,0,,,,germany,georgia,0,"""germany"": {""georgia"":0,},"
Germany,Greece,5,6,,,,germany,greece,6,"""germany"": {""greece"":5.5,},"
Germany,Hungary,2,2,,,,germany,hungary,2,"""germany"": {""hungary"":2.1,},"
Germany,Iceland,2,2,,,,germany,iceland,2,"""germany"": {""iceland"":2,},"
Germany,Ireland,2,2,,,,germany,ireland,2,"""germany"": {""ireland"":1.8,},"
Germany,Israel,3,3,,,,germany,israel,3,"""germany"": {""israel"":3.1,},"
Germany,Italy,2,2,,,,germany,italy,2,"""germany"": {""italy"":1.8,},"
Germany,Latvia,3,3,,,,germany,latvia,3,"""germany"": {""latvia"":3.3,},"
